file,kind,detail
L_68284.xml,unresolved-entity-key,Pound/Joyce
L_68284.xml,unresolved-entity-key,LII
L_68284.xml,unresolved-entity-key,Ulysses in Progress
L_68284.xml,unresolved-entity-key,Drama
L_68284.xml,unresolved-entity-key,Drama
L_68284.xml,unresolved-entity-key,Pound/Joyce
L_68290.xml,unresolved-entity-key,LII
L_68290.xml,unresolved-entity-key,Pound/Joyce
L_68290.xml,unresolved-entity-key,Pound/Lewis: The Letters of Ezra Pound and Wyndham Lewis
L_68290.xml,unresolved-entity-key,LII
L_68290.xml,unresolved-entity-key,Dubliners
L_68290.xml,unresolved-entity-key,the Royal Literary Fund
L_68290.xml,unresolved-entity-key,the British Civil List
L_68290.xml,unresolved-entity-key,the British Society of Authors
L_68290.xml,unresolved-entity-key,JJ
L_68297.xml,unresolved-entity-key,The Egoist
L_68297.xml,unresolved-entity-key,LII
L_68297.xml,unresolved-entity-key,The Letters of Ezra Pound
L_68314.xml,unresolved-entity-key,"Economic Warfare and the Sea: Grand Strategies for Maritime Powers, 1600-1945"
L_68314.xml,unresolved-entity-key,Studies in Bibliography
L_68314.xml,unresolved-entity-key,JJ
L_68314.xml,unresolved-entity-key,JJ
L_68314.xml,unresolved-entity-key,Kingstown
L_68314.xml,unresolved-entity-key,Holyhead
L_68314.xml,unresolved-entity-key,Sandycove
L_68314.xml,unresolved-entity-key,the British Civil List
L_68314.xml,unresolved-entity-key,LI
L_68317.xml,unresolved-entity-key,D.H. Lawrence
L_68317.xml,unresolved-entity-key,the Egoist Ltd. of London
L_68317.xml,unresolved-entity-key,Studies in Bibliography
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,Sherwood Anderson
L_68317.xml,unresolved-entity-key,Theodore Dreiser
L_68317.xml,unresolved-entity-key,Robert Frost
L_68317.xml,unresolved-entity-key,Kahlil Gibran
L_68317.xml,unresolved-entity-key,D.H. Lawrence
L_68317.xml,unresolved-entity-key,Amy Lowell
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,Kismet
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,"Lady Cunard, born Maud Alice Burke"
L_68317.xml,unresolved-entity-key,George Moore
L_68317.xml,unresolved-entity-key,the British Civil List
L_68317.xml,unresolved-entity-key,JJ
L_68317.xml,unresolved-entity-key,LI
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,LI
L_68317.xml,unresolved-entity-key,LI
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,Pound/Joyce
L_68317.xml,unresolved-entity-key,Little Review
L_68317.xml,unresolved-entity-key,Pound
L_68317.xml,unresolved-entity-key,: The Letters of Ezra Pound to Margaret Anderson: The
L_68317.xml,unresolved-entity-key,Correspondence
L_68317.xml,unresolved-entity-key,Pavannes and Divisions
L_68317.xml,unresolved-entity-key,Mushrooms: A Book of Free Forms
L_68317.xml,unresolved-entity-key,The Glebe
L_68317.xml,unresolved-entity-key,Des Imagistes: An Anthology
L_68317.xml,unresolved-entity-key,Others
L_68317.xml,unresolved-entity-key,Others: An Anthology of the New Verse
L_68317.xml,unresolved-entity-key,A Portrait
L_68317.xml,unresolved-entity-key,U
L_68348.xml,unresolved-entity-key,Letters I
L_68348.xml,unresolved-entity-key,Philipp Jarnach
L_68348.xml,unresolved-entity-key,Ferruccio Busoni
L_68348.xml,unresolved-entity-key,JJ
L_68348.xml,unresolved-entity-key,Pound/Joyce
L_68348.xml,unresolved-entity-key,LI
L_68348.xml,unresolved-entity-key,E. Byrne Hackett
L_68348.xml,unresolved-entity-key,the Yale University Press
L_68348.xml,unresolved-entity-key,Clongowes school
L_68348.xml,unresolved-entity-key,Pound/Joyce
L_68348.xml,unresolved-entity-key,Mitchell Kennerley
L_68348.xml,unresolved-entity-key,Pound/Joyce
L_68348.xml,unresolved-entity-key,his doctor
L_68348.xml,unresolved-entity-key,JJ
L_68352.xml,unresolved-entity-key,Pound/Joyce
L_68352.xml,unresolved-entity-key,LI
L_68352.xml,unresolved-entity-key,LII
L_68352.xml,unresolved-entity-key,Nation
L_68352.xml,unresolved-entity-key,New Republic
L_68352.xml,unresolved-entity-key,Times Literary Supplement
L_68352.xml,unresolved-entity-key,Gulliver’s Travels
L_68352.xml,unresolved-entity-key,Nation
L_68352.xml,unresolved-entity-key,TLS
L_68352.xml,unresolved-entity-key,Vanity Fair
L_68352.xml,unresolved-entity-key,New Statesman
L_68352.xml,unresolved-entity-key,New Republic
L_68352.xml,unresolved-entity-key,Unicorns
L_68352.xml,unresolved-entity-key,New York Sun
L_68352.xml,unresolved-entity-key,Everyman
L_68352.xml,unresolved-entity-key,"James Joyce: The Critical Heritage, Volume 1, 1907-1927"
L_68352.xml,unresolved-entity-key,James Joyce Quarterly
L_68352.xml,unresolved-entity-key,Arthur Clutton-Brock
L_68352.xml,unresolved-entity-key,LII
L_68352.xml,unresolved-entity-key,Edith Craig
L_68352.xml,unresolved-entity-key,Ellen Terry
L_68352.xml,unresolved-entity-key,Mrs. Warren’s Profession
L_68352.xml,unresolved-entity-key,Charlotte Perkins Gilman
L_68352.xml,unresolved-entity-key,Three Women
L_68352.xml,unresolved-entity-key,Reginald Wright Kauffman
L_68352.xml,unresolved-entity-key,The Daughters of Ishmael
L_68352.xml,unresolved-entity-key,Magdalen Ponsonby
L_68352.xml,unresolved-entity-key,Idle Women: A Study in Futility
L_68352.xml,unresolved-entity-key,Verbannte: Schauspiel in drei Akten
L_68352.xml,unresolved-entity-key,the Independent Theatre
L_68352.xml,unresolved-entity-key,Ghosts
L_68352.xml,unresolved-entity-key,Widowers’ Houses
L_68352.xml,unresolved-entity-key,Oscar Wilde
L_68352.xml,unresolved-entity-key,Salome
L_68352.xml,unresolved-entity-key,Maud Allan
